"industry_code","industry_title"
"C0000000","Verarbeitendes Gewerbe"
"CONG0000","Verarbeitendes Gewerbe (ohne Ernährungsgewerbe)"
"C00000A0","Herstellung von Vorleistungsgütern"
"C00000B0","Herstellung von Investitionsgütern"
"C00000C0","Herstellung von Konsumgütern (Ge- und Verbrauchsgüter)"
"C0000CD0","Herstellung von Gebrauchsgütern"
"C0000CN0","Herstellung von Verbrauchsgütern"
"CONG00C0","Herstellung von Konsumgütern (ohne Ernährungsgewerbe)"
"C2220000","Herstellung von Kunststoffwaren"
"C2221000","Herstellung von Platten  Folien  Schläuchen und Profilen"
"C2222000","Herstellung von Verpackungsmitteln aus Kunststoffen"
"C2223000","Herstellung von Baubedarfsartikeln aus Kunststoffen"
"C2229000","Herstellung von sonstigen Kunststoffwaren"
"C2300000","Glas-  Keramikgewerbe  Verarbeitung von Steinen und Erden"
"C2310000","Herstellung von Glas und Glaswaren"
"C2312000","Veredelung und Bearbeitung von Flachglas"
"C2313000","Herstellung von Hohlglas"
"C2319000","Herstellung von technischen Glaswaren"
"C2330000","Herstellung von keramischen Baumaterialien"
"C2340000","Herstellung von sonstiger Keramik "
"C2341000","Herstellung von keramischen Haushaltswaren"
"C2350000","Herstellung von Zement  Kalk und gebranntem Gips"
"C2351000","Herstellung von Zement"
"C2360000","Herstellung von Erzeugnissen aus Beton  Zement und Gips"
"C2361000","Herstellung von Erzeugnissen aus Beton"
"C2370000","Be- und Verarbeitung von Naturwerk- und Natursteinen"
"C2390000","Herstellung sonstiger nichtmetallischer Erzeugnisse a.n.g."
"C2391000","Herstellung von Schleifkörpern und Schleifmitteln"
"C2400000","Metallerzeugung und -bearbeitung"
"C2420000","Herstellung von Stahlrohren"
"C2440000","Erzeugung und erste Bearbeitung von NE-Metallen"
"C2450000","Gießereien"
"C2450010","Eisen-  Stahl- und Temperguss"
"C2450020","NE-Metallguss"
"C2500000","Herstellung von Metallerzeugnissen"
"C2510000","Stahl- und Leichtmetallbau"
"C2511000","Herstellung von Metallkonstruktionen"
"C2512000","Herstellung von Ausbauelementen aus Metall"
"C2520000","Herstellung von Metalltanks  Heizkörpern und -kesseln"
"C2521000","Herstellung von Heizkesseln und -körpern für Zentralheizungen"
"C2521120","Herstellung von Heizkesseln für Zentralheizungen"
"C2529000","Herstellung von Behältern"
"C2550000","Herstellung von Schmiede-  Press-  Zieh- und Stanzteilen"
"C2560000","Oberflächenveredlung  Wärmebehandlung und Mechanik a.n.g."
"C2562000","Mechanik a.n.g."
"C2570000","Herstellung von Schneidwaren  Werkzeugen  Schlössern"
"C2571000","Herstellung von Schneidwaren und Bestecken"
"C2572000","Herstellung von Schlössern und Beschlägen"
"C2573000","Herstellung von Werkzeugen"
"C2573010","Herstellung von Werkzeugen (ohne Präzisionswerkzeuge)"
"C2573020","Herstellung von Präzisionswerkzeugen"
"C2590000","Herstellung von sonstigen Metallwaren"
"C2592000","Herstellung von Verpackungen und Verschlüssen aus Metall"
"C2594000","Herstellung von Schrauben und Nieten"
"C2600000","Datenverarbeitungsgeräte  elektronische und optische  Erzeugnisse"
"C2610000","Herstellung elektronischer Bauelemente und Leiterplatten"
"C2620000","Herstellung von DV-Geräten und peripheren Geräten"
"C2630000","Herstellung von Geräten der Telekommunikationstechnik"
"C2651000","Herstellung von Mess- und Navigationsinstrumenten"
"C2651100","Herstellung elektrischer Mess-  Kontroll-  Navigationsinstrumente"
"C2651200","Herstellung feinmechanisch-optischer Messinstrumente"
"C2670000","Herstellung von optischen und fotografischen Geräten"
"C2670010","Herstellung von optischen Instrumenten und Lasern"
"C2700000","Herstellung von elektrischen Ausrüstungen"
"C2710000","Herstellung von Elektromotoren  Generatoren  Transformatoren usw."
"C2711000","Herstellung von Elektromotoren  Generatoren  Transformatoren"
"C2712000","Elektrizitätsverteilungs- und Schalteinrichtungen"
"C2730000","Herstellung von Kabeln und Elektroinstallationsmaterial"
"C2732000","Herstellung isolierter Elektrokabel  -leitungen und -drähte"
"C2733000","Herstellung von elektrischem Installationsmaterial"
"C2740000","Herstellung von elektrischen Lampen und Leuchten"
"C2750000","Herstellung von Haushaltsgeräten"
"C2800000","Maschinenbau"
"C2810000","Herstellung nicht wirtschaftszweigspezifischer Maschinen"
"C2812000","Herstellung von hydraulischen und pneumatischen Komponenten"
"C2812110","Herstellung von Ölhydraulik"
"C2812210","Herstellung von pneumatischen Steuerungen"
"C2813010","Herstellung von Flüssigkeitspumpen"
"C2814000","Herstellung von Armaturen a.n.g."
"C2815000","Herstellung  von Lagern  Getrieben  Zahnrädern"
"C2815100","Herstellung von Lagern"
"C2815200","Herstellung von Getrieben  Zahnrädern und Antriebselementen"
"C2820000","Herstellung von nicht-branchenspezifischen Maschinen"
"C2822000","Herstellung von Hebezeugen und Fördermitteln"
"C2825000","Herstellung von kälte- und lufttechnischen Erzeugnissen"
"C2829000","Herstellung sonstiger nicht spezifischer Maschinen a.n.g."
"C2830000","Herstellung von land- und forstwirtschaftlichen Maschinen"
"C2840000","Herstellung von Werkzeugmaschinen"
"CONG0CN0","Herstellung von Verbrauchsgütern (ohne Ernährungsgewerbe)"
"C00FOBE0","Ernährungsgewerbe und Tabakverarbeitung"
"C1000000","Herstellung von Nahrungs- und Futtermitteln"
"C1010000","Schlachten und Fleischverarbeitung"
"C1020000","Fischverarbeitung"
"C1030000","Obst- und Gemüseverarbeitung"
"C1050000","Milchverarbeitung"
"C1060000","Herstellung von Mahl- und Schälmühlen  Stärkeerzeugnissen"
"C2841000","Herstellung von Werkzeugmaschinen für die Metallbearbeitung"
"C2849200","Herstellung von Maschinen zur Bearbeitung harter Stoffe"
"C2890000","Herstellung von Maschinen für sonstige bestimmte Branchen"
"C2891000","Herstellung von Metallerzeugungsmaschinen"
"C2892000","Herstellung von Bergwerks-  Bau- und Baustoffmaschinen"
"C2892200","Herstellung von Bau- und Baustoffmaschinen"
"C2893000","Herstellung von Maschinen für das Ernährungsgewerbe"
"C2894000","Herstellung von Maschinen für das Textilgewerbe"
"C2896000","Herstellung von Gummi- und Kunststoffindustriemaschinen"
"C2899000","Herstellung sonstiger branchespezifischer Maschinen a.n.g."
"C2900000","Herstellung von Kraftwagen und Kraftwagenteilen"
"C2910000","Herstellung von Kraftwagen und -motoren"
"C2911000","Herstellung von Nutzkraftwagen"
"C2912000","Herstellung von Personenkraftwagen einschließlich Kombis"
"C2920000","Herstellung von Karosserien  Aufbauten und Anhängern"
"C2930000","Herstellung von Teilen und Zubehör für Kraftwagen"
"C3000000","Sonstiger Fahrzeugbau"
"C3100000","Herstellung von Möbeln"
"C3101000","Herstellung von Büro- und Ladenmöbeln"
"C3109000","Herstellung von sonstigen Möbel"
"C3109040","Herstellung von Polstermöbeln"
"C3200000","Herstellung von sonstigen Waren"
"C3250000","Herstellung von medizinischen Apparaten und Materialien"
"C3250200","Herstellung von medizinmechanischen Erzeugnissen"
"C3291000","Herstellung von Besen und Bürsten"
"C1070000","Herstellung von Back- und Teigwaren"
"C1071000","Herstellung von Backwaren (ohne Dauerbackwaren)"
"C1080000","Herstellung von sonstigen Nahrungsmitteln"
"C1082000","Herstellung von Süßwaren (einschließlich Dauerbackwaren)"
"C1090000","Herstellung von Futtermitteln"
"C1100000","Getränkeherstellung"
"C1101000","Herstellung von Spirituosen"
"C1105000","Herstellung von Bier"
"C1107000","Herstellung von Erfrischungsgetränken und Mineralwasser"
"C1300000","Herstellung von Textilien"
"C1320000","Weberei"
"C1321000","Baumwollweberei"
"C1330000","Veredlung von Textilien und Bekleidung"
"C1390000","Herstellung von sonstigen Textilwaren"
"C1392000","Herstellung konfektionierter Textilwaren (ohne Bekleidung)"
"C1400000","Herstellung von Bekleidung"
"C1410000","Herstellung von Bekleidung (ohne Pelzbekleidung)"
"C1413000","Herstellung von sonstiger Oberbekleidung"
"C1414000","Herstellung von Wäsche"
"C1414100","Herstellung von gewebter Wäsche (ohne Miederwaren)"
"C1431000","Herstellung von Strumpfwaren"
"C1500000","Herstellung von Leder  Lederwaren und Schuhen"
"C1510000","Herstellung von Leder und Lederwaren (ohne Lederbekleidung)"
"C1520000","Herstellung von Schuhen"
"C1600000","Holz-  Flecht-  Korb- und Korkwarenherstellung (ohne Möbel)"
"C1610000","Säge-  Hobel- und Holzimprägnierwerke"
"C1620000","Herstellung sonstiger Holz-  Flecht-  Korb- und Korkwaren"
"C1621000","Herstellung von Furnier-  Sperrholz- und Holzspanplatten"
"C1623000","Herstellung von Fertigbauteilen und Ausbauelementen"
"C1624000","Herstellung von Verpackungsmitteln aus Holz"
"C1700000","Papiergewerbe"
"C1710000","Herstellung von Holz- und Zellstoff  Papier  Karton und Pappe"
"C1712000","Herstellung von Papier  Karton und Pappe"
"C1712100","Herstellung von Papier"
"C1712200","Herstellung von Karton und Pappe"
"C1720000","Papier-  Karton- und Pappeverarbeitung"
"C1721000","Herstellung von Wellpapier und -pappe  Verpackungsmitteln"
"C1723000","Herstellung von Schreibwaren und Bürobedarf aus Papier"
"C1800000","Herstellung von Druckerzeugnissen"
"C1810000","Herstellung von Druckerzeugnissen"
"C1811000","Zeitungsdruck"
"C1812000","Drucken a.n.g."
"C1813000","Druck und Medienvorstufe"
"C1900000","Kokerei und Mineralölverarbeitung"
"C2000000","Herstellung von chemischen Erzeugnissen"
"C2010000","Herstellung von chemischen Grundstoffen"
"C2012000","Herstellung von Farbstoffen und Pigmenten"
"C2014000","Herstellung sonstiger organischer Grundstoffe"
"C2016000","Herstellung von Kunststoff in Primärformen"
"C2030000","Herstellung von Anstrichmitteln  Druckfarben und Kitten"
"C2040000","Herstellung von Wasch-  Reinigungs- u. Körperpflegemitteln"
"C2050000","Herstellung von sonstigen chemischen Erzeugnissen "
"C2100000","Herstellung von pharmazeutischen Erzeugnissen"
"C2200000","Herstellung von Gummi- und Kunststoffwaren"
"C2210000","Herstellung von Gummiwaren"
"C2219000","Herstellung von sonstigen Gummiwaren"
